#"Dstat 0.7.3 CSV output"
#"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
#"Host:","node0.dpsgd-cluster-4.uwmadison744-f20-pg0.wisc.cloudlab.us",,,,"User:","hemantc"
#"Cmdline:","dstat --cpu --net --mem --output cpsgd.csv 1",,,,"Date:","08 Dec 2020 13:08:51 CST"
#"total cpu usage",,,,,"net/total",,"memory usage",,,
#"usr","sys","idl","wai","stl","recv","send","used","free","buff","cach"
13.739,3.809,82.215,0.062,0.176,0,0,725684224,4179591168,290250752,10985259008
87.221,1.217,11.562,0,0,9902490,9974372,725749760,4179513344,290258944,10985263104
91.111,1.212,7.475,0,0.202,9901092,9959518,725614592,4179648512,290258944,10985459712
87.071,1.616,11.313,0,0,9898456,9961822,725688320,4179574784,290258944,10985263104
86.207,0.609,12.982,0,0.203,9899910,9961660,726671360,4178591744,290258944,10985656320
91.165,2.008,6.827,0,0,11542304,11606698,726831104,4178432000,290258944,10985062400
88.800,1.800,9.400,0,0,9900446,9972344,727060480,4178202624,290258944,10985263104
87.123,1.006,11.670,0,0.201,9900918,9961036,726667264,4178587648,290267136,10985263104
90.619,1.597,7.784,0,0,11543454,11606434,727756800,4177498112,290267136,10985062400
89.206,1.629,8.961,0,0.204,9902877,9974974,726953984,4178300928,290267136,10985263104
90,1.200,8.800,0,0,10689916,11016242,727511040,4177743872,290267136,10985066496
89.841,1.195,8.765,0,0.199,10752744,10559804,727400448,4177854464,290267136,10985263104
90.101,1.414,8.485,0,0,9899270,9966846,727330816,4177924096,290267136,10985459712
89.421,1.597,8.782,0,0.200,9898878,9960532,728047616,4177199104,290275328,10985267200
89.113,1.613,9.274,0,0,11542344,11606542,727101440,4178145280,290275328,10985062400
85.081,1.210,13.710,0,0,9897794,9975842,727490560,4177756160,290275328,10985263104
91.600,1.200,7.200,0,0,9896970,9960508,727339008,4177907712,290275328,10985263104
88.485,1.616,9.697,0,0.202,10820838,11015360,727642112,4177604608,290275328,10985459712
89.919,2.218,7.863,0,0,10622848,10552836,727506944,4177731584,290283520,10984873984
86.585,0.813,12.398,0,0.203,9899910,9973730,727482368,4177756160,290283520,10985263104
90.081,1.619,8.300,0,0,9900762,9960268,727166976,4178071552,290283520,10985263104
91.111,0.808,8.081,0,0,11478924,11554964,728461312,4176777216,290283520,10985459712
89.980,1.403,8.617,0,0,9962580,10027114,727130112,4178108416,290283520,10985263104
91.129,1.411,7.258,0,0.202,11543794,11606566,727048192,4178182144,290291712,10985062400
87.928,0.805,11.268,0,0,9899524,9974918,727019520,4178210816,290291712,10985455616
90.763,1.406,7.631,0,0.201,9901550,9960658,727633920,4177596416,290291712,10985263104
84.431,1.796,13.772,0,0,11482416,11542960,727248896,4177981440,290291712,10985263104
85.020,1.012,13.765,0,0.202,9963964,10037474,727502848,4177727488,290291712,10985263104
92.369,1.205,6.426,0,0,9895750,9961126,728051712,4177178624,290291712,10985267200
89.178,1.403,9.218,0,0.200,9895458,9960028,727236608,4177985536,290299904,10985263104
88.641,1.623,9.736,0,0,11541156,11620988,727658496,4177563648,290299904,10985263104
83.800,2.200,14,0,0,9896658,9959542,727310336,4177911808,290299904,10985263104
89.516,1.411,8.871,0,0.202,9895658,9960598,727490560,4177731584,290299904,10985263104
88.710,1.008,10.081,0,0.202,9897876,9960436,726949888,4178272256,290299904,10985459712
90.161,1.205,8.635,0,0,11542342,11619746,727756800,4177465344,290299904,10985263104
90.438,1.394,8.167,0,0,9899998,9959650,727306240,4177907712,290308096,10985066496
89.357,1.406,9.036,0,0.201,11483862,11541412,728424448,4176789504,290308096,10985263104
90.688,0.607,8.704,0,0,9965068,10037384,727486464,4177727488,290308096,10985459712
89.820,1.397,8.583,0,0.200,9900392,9959608,727810048,4177403904,290308096,10985263104
88.377,1.603,10.020,0,0,9901794,9960136,727515136,4177698816,290308096,10985066496
83.865,2.191,13.745,0,0.199,11218948,11279262,727879680,4177334272,290308096,10985263104
92.105,1.619,6.275,0,0,10223554,10287374,727805952,4177399808,290316288,10985263104
90.040,0.996,8.765,0,0.199,9898438,9959578,727072768,4178132992,290316288,10985263104
80.522,2.008,17.470,0,0,9898884,9973646,727293952,4177911808,290316288,10985263104
91.498,1.215,7.085,0,0.202,9900822,9961192,727433216,4177768448,290316288,10985463808
89.621,0.998,9.381,0,0,11544016,11608216,727195648,4178006016,290316288,10985070592
92.400,1.800,5.600,0,0.200,9901655,9975776,727752704,4177440768,290324480,10985267200
85.800,1.400,12.800,0,0,9902122,9959914,727965696,4177227776,290324480,10985271296
88.978,1.603,9.419,0,0,10559900,10752358,727814144,4177379328,290324480,10985660416
92.430,1.594,5.777,0,0.199,10886410,10829828,727597056,4177596416,290324480,10985267200
87.045,1.215,11.538,0,0.202,9903418,9961126,727564288,4177629184,290324480,10985267200
87.475,0.994,11.531,0,0,9899026,9961324,727515136,4177670144,290332672,10985267200
89.495,1.010,9.495,0,0,9899722,9961258,727994368,4177190912,290332672,10985463808
91.532,1.815,6.653,0,0,11543360,11607136,727781376,4177403904,290332672,10985066496
89.579,0.802,9.419,0,0.200,9899602,9974060,727601152,4177584128,290332672,10985463808
88.687,1.818,9.495,0,0,9899694,9960532,727654400,4177530880,290332672,10985463808
88.294,1.587,9.722,0.198,0.198,9897942,9961126,727486464,4177690624,290340864,10985267200
87.928,1.610,10.463,0,0,11493106,11553440,727236608,4177940480,290340864,10985267200
86.667,0.808,12.323,0,0.202,11336952,11610268,726417408,4178759680,290340864,10983727104
35.141,17.470,47.390,0,0,292243,78678,637874176,4267302912,290340864,10985037824
93.613,2.395,3.792,0,0.200,29374,388,638074880,4267102208,290340864,10985086976
94.556,1.411,4.032,0,0,30510,298,639275008,4265902080,290340864,10985463808
94.960,1.815,3.226,0,0,29493,388,638365696,4266799104,290353152,10985463808
95.190,1.804,3.006,0,0,29562,388,638504960,4266659840,290353152,10985463808
94.378,2.209,3.213,0,0.201,28284,388,638603264,4266561536,290353152,10985066496
94.490,2.041,3.469,0,0,29166,388,639025152,4266139648,290353152,10985086976
95.200,1.800,3,0,0,28307,388,639971328,4265193472,290353152,10985459712
94.908,1.426,3.666,0,0,29687,388,639184896,4265971712,290361344,10985267200
95.354,1.010,3.434,0,0.202,29432,298,639209472,4265947136,290361344,10985263104
94.141,1.616,4.242,0,0,28018,298,638398464,4266758144,290361344,10985259008
94.821,1.594,3.386,0,0.199,30474,298,639328256,4265828352,290361344,10985455616
94.512,2.033,3.455,0,0,27632,388,639946752,4265209856,290361344,10985463808
27.400,25.200,47.400,0,0,27643,686,680845312,4224311296,290361344,10985066496
82.505,9.543,7.952,0,0,9837574,9885174,736727040,4168413184,290373632,10985263104
83.200,1.800,14.800,0,0.200,9901120,9959476,738275328,4166864896,290373632,10985074688
86.410,1.623,11.968,0,0,9964648,10024870,739221504,4165918720,290373632,10984869888
86.310,1.389,12.103,0,0.198,9902934,9974918,740413440,4164726784,290373632,10985459712
83.702,1.408,14.889,0,0,9902858,9959674,739360768,4165779456,290373632,10985066496
89.980,1.403,8.417,0,0.200,9899944,9961258,739344384,4165787648,290381824,10985459712
92.385,1.002,6.613,0,0,10164892,10226192,738562048,4166569984,290381824,10985267200
84.553,1.016,14.228,0,0.203,11282922,11342292,739262464,4165869568,290381824,10985267200
89.113,1.411,9.476,0,0,9904430,9975050,739950592,4165181440,290381824,10985267200
91.583,1.403,7.014,0,0,11219782,11410236,739422208,4165709824,290381824,10985070592
84.800,1.600,13.400,0,0.200,10230156,10156022,739774464,4165357568,290381824,10985267200
88.048,1.394,10.558,0,0,9903562,9973862,739147776,4165976064,290390016,10985459712
90.562,1.406,8.032,0,0,9904162,9960724,739127296,4165996544,290390016,10985074688
87.849,1.394,10.558,0,0.199,11545304,11606704,738701312,4166422528,290390016,10985066496
87.123,1.207,11.670,0,0,9901132,9974018,739418112,4165705728,290390016,10985263104
88.623,1.198,9.980,0,0.200,9901468,9960034,738725888,4166397952,290390016,10985267200
83.130,1.829,15.041,0,0,9898634,9960532,739024896,4166090752,290398208,10985070592
89.759,1.606,8.635,0,0,11492224,11542816,739475456,4165640192,290398208,10985267200
88.732,1.811,9.457,0,0,9953484,10037786,739749888,4165365760,290398208,10985070592
79.084,0.797,19.920,0,0.199,9900960,9958858,739020800,4166094848,290398208,10985263104
90.891,2.024,7.085,0,0,10492642,10484948,739336192,4165775360,290398208,10985074688
84.661,1.394,13.745,0,0.199,10890732,11017278,739344384,4165767168,290398208,10985074688
86.117,1.811,11.871,0.201,0,9964334,10025248,739266560,4165836800,290406400,10985070592
91.018,1.397,7.385,0,0.200,9901446,9974192,739553280,4165550080,290406400,10985074688
90.121,1.210,8.669,0,0,11482456,11542732,738725888,4166377472,290406400,10984878080
90.909,1.010,8.081,0,0,9963558,10025016,738959360,4166144000,290406400,10985070592
87.698,1.587,10.516,0,0.198,9900476,9975248,738750464,4166352896,290406400,10985267200
88.377,0.802,10.822,0,0,9900860,9960334,738144256,4166959104,290406400,10985267200
84.770,1.403,13.828,0,0,9901120,9960928,739053568,4166041600,290414592,10984878080
87.780,1.426,10.591,0,0.204,11480078,11542492,739102720,4165992448,290414592,10985271296
88.845,0.797,10.359,0,0,9961222,10024738,738238464,4166856704,290414592,10985070592
90.581,1.403,7.816,0,0.200,9896878,9974300,738779136,4166316032,290414592,10985074688
84.073,1.411,14.516,0,0,9899076,9959584,738365440,4166729728,290414592,10985074688
88.800,1.200,10,0,0,10163489,10225268,738332672,4166762496,290414592,10985074688
90.161,0.803,8.835,0,0.201,11281488,11343282,738471936,4166615040,290422784,10985070592
88.294,1.389,10.317,0,0,9899390,9974258,738684928,4166402048,290422784,10985271296
86.694,1.210,12.097,0,0,9901482,9960442,738267136,4166819840,290422784,10985066496
88.956,1.606,9.237,0,0.201,11482390,11543020,739090432,4165996544,290422784,10985271296
91.903,0.810,7.287,0,0,9964217,10038266,739516416,4165570560,290422784,10985271296
90.060,1.392,8.549,0,0,9898722,9960784,740093952,4164984832,290430976,10985074688
92,0.800,7,0,0.200,9902910,9960310,739311616,4165767168,290430976,10985074688
91.870,2.033,6.098,0,0,11546690,11620004,739106816,4165971968,290430976,10985267200
89,1.200,9.800,0,0,9900020,9962248,739332096,4165746688,290430976,10985074688
87.195,1.220,11.382,0,0.203,9901754,9959962,738992128,4166086656,290430976,10985074688
85.772,2.004,12.224,0,0,11485270,11542822,739823616,4165255168,290430976,10985463808
87.400,1,11.400,0,0.200,9962552,10038530,739328000,4165742592,290439168,10985074688
83.300,1.207,15.493,0,0,9902528,9960508,740528128,4164542464,290439168,10985074688
91.147,1.610,7.243,0,0,9900532,9959980,740286464,4164784128,290439168,10985271296
88.353,1.004,10.442,0,0.201,9898936,9960046,739573760,4165496832,290439168,10985271296
92.169,1.004,6.827,0,0,11480526,11542426,740139008,4164931584,290439168,10985263104
88.377,1.403,10.220,0,0,9964634,10037408,739418112,4165652480,290439168,10985271296
87.854,1.417,10.526,0,0.202,9901936,9960796,739319808,4165742592,290447360,10985267200
90.726,1.210,8.065,0,0,9902552,9960574,739381248,4165681152,290447360,10985074688
90.782,1.603,7.415,0,0.200,9899560,9960112,739291136,4165771264,290447360,10985074688
89.222,1.796,8.982,0,0,11483792,11543326,739586048,4165476352,290447360,10985074688
86.228,1.796,11.776,0,0.200,9965498,10039322,738783232,4166279168,290447360,10985074688
86.922,1.610,11.469,0,0,9903866,9960070,739000320,4166053888,290455552,10985267200
90.514,1.779,7.510,0,0.198,9901028,9959938,739385344,4165668864,290455552,10985074688
88.508,1.613,9.879,0,0,11520134,11585564,739315712,4165738496,290455552,10985074688
87.475,1.616,10.909,0,0,9924050,9981264,739467264,4165586944,290455552,10984873984
87.525,1.207,11.268,0,0,9901370,9974168,739131392,4165922816,290455552,10985271296
87.525,1.408,10.865,0,0.201,9901758,10223294,737796096,4167258112,290455552,10985271296
55.600,9.400,34.800,0,0.200,8253232,8023292,603549696,4301496320,290463744,10983317504
69.495,10.505,20,0,0,26962,14090,639410176,4265635840,290463744,10985271296
94.297,1.833,3.870,0,0,27866,298,640090112,4264955904,290463744,10985070592
95.565,1.613,2.823,0,0,28098,298,639676416,4265369600,290463744,10985070592
95.400,2.200,2.200,0,0.200,27982,388,640413696,4264632320,290463744,10985271296
94.534,2.429,3.036,0,0,28800,388,640454656,4264591360,290463744,10985664512
93.890,2.444,3.666,0,0,27936,388,640065536,4264968192,290476032,10985271296
95.152,1.818,3.030,0,0,27460,388,640872448,4264157184,290476032,10985078784
93.939,2.424,3.636,0,0,28250,298,641064960,4263964672,290476032,10985050112
94.800,1.600,3.400,0,0.200,28956,388,641331200,4263698432,290476032,10985304064
94.262,2.254,3.484,0,0,31154,478,640761856,4264267776,290476032,10985062400
93.561,2.414,4.024,0,0,31418,784,641146880,4263874560,290484224,10985472000
94.545,1.616,3.838,0,0,30544,388,641896448,4263124992,290484224,10985455616
25.806,28.629,45.363,0,0.202,30510,908,702509056,4202508288,290484224,10985082880
