#"Dstat 0.7.3 CSV output"
#"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
#"Host:","node0.dpsgd-cluster-4.uwmadison744-f20-pg0.wisc.cloudlab.us",,,,"User:","hemantc"
#"Cmdline:","dstat --cpu --net --mem --output cpsgd_p2a.csv 1",,,,"Date:","08 Dec 2020 14:08:41 CST"
#"total cpu usage",,,,,"net/total",,"memory usage",,,
#"usr","sys","idl","wai","stl","recv","send","used","free","buff","cach"
15.071,3.647,81.049,0.059,0.174,0,0,750219264,4097114112,293400576,11038674944
35.426,4.036,59.641,0,0.897,11558382,11576992,750030848,4097298432,293400576,11038482432
34.467,5.442,58.957,0,1.134,11877348,11892172,750981120,4096348160,293400576,11038482432
38.074,5.470,55.580,0,0.875,10048267,10058098,750280704,4097048576,293400576,11038482432
35.666,5.869,57.562,0,0.903,10050194,10057942,751419392,4095909888,293400576,11038662656
37.553,5.063,56.540,0,0.844,11110148,11126296,750219264,4097110016,293400576,11038285824
35.214,4.063,59.142,0.451,1.129,12327032,12341368,750882816,4096438272,293408768,11038670848
38.739,5.180,55.180,0,0.901,10048170,10058098,750944256,4096376832,293408768,11038490624
36.695,3.863,58.369,0,1.073,12479696,12056692,750305280,4097015808,293408768,11038482432
38.274,4.646,56.195,0,0.885,10958582,11412226,751128576,4096192512,293408768,11038666752
38.147,4.310,56.466,0,1.078,10049448,10058404,751202304,4096118784,293408768,11038306304
37.528,4.194,57.395,0,0.883,10245799,10257736,751243264,4096077824,293408768,11038662656
37.719,4.167,56.798,0.219,1.096,13192450,13211116,751407104,4095905792,293416960,11038666752
40.512,5.330,53.305,0,0.853,10046636,10057438,751157248,4096155648,293416960,11038281728
37.143,3.736,58.022,0,1.099,10301748,10314862,751091712,4096221184,293416960,11038478336
33.705,4.241,61.161,0,0.893,13134232,13153240,750682112,4096630784,293416960,11038482432
38.925,4.086,55.914,0,1.075,10049646,10057480,750886912,4096425984,293416960,11038486528
36.748,4.009,58.352,0,0.891,10544038,10557736,750108672,4097204224,293416960,11038482432
35.076,5.229,58.388,0.218,1.089,12885550,12898738,750448640,4096856064,293425152,11038474240
38.428,3.712,56.987,0,0.873,10059516,10070716,749821952,4097482752,293425152,11038482432
36.364,5.543,56.984,0,1.109,10050660,10057678,750141440,4097163264,293425152,11038281728
35.892,4.515,58.691,0,0.903,11115121,11129094,749490176,4097814528,293425152,11038478336
37.229,5.411,56.494,0,0.866,12325868,12339682,750551040,4096753664,293425152,11038486528
36.748,4.900,57.238,0,1.114,10180042,10162660,750645248,4096651264,293433344,11038482432
35.931,4.978,58.225,0,0.866,11455448,11500492,750538752,4096757760,293433344,11038482432
36.703,5.055,57.363,0,0.879,11849904,11862346,750485504,4096811008,293433344,11038294016
36.508,5.215,57.143,0,1.134,10047952,10057570,750931968,4096364544,293433344,11038482432
34.573,6.127,58.206,0,1.094,12481064,12499528,750133248,4097163264,293433344,11038289920
37.500,5.482,56.140,0,0.877,10957737,10968334,750292992,4097003520,293433344,11038306304
37.879,4.545,56.494,0.216,0.866,11110960,11125882,750661632,4096626688,293441536,11038294016
38.562,4.139,56.209,0,1.089,12326843,12342190,750526464,4096761856,293441536,11038474240
39.869,4.357,54.902,0,0.871,10047808,10057480,751013888,4096274432,293441536,11038478336
35.824,4.396,58.681,0,1.099,11107410,10904044,750862336,4096425984,293441536,11038289920
37.093,5.640,56.399,0,0.868,12328994,12564940,750882816,4096405504,293441536,11038277632
37.360,4.922,56.600,0,1.119,10048894,10058140,751845376,4095442944,293441536,11038670848
37.802,4.615,56.484,0.220,0.879,10542131,10555964,751321088,4095959040,293449728,11038670848
35.965,4.605,58.333,0,1.096,12896429,12911634,751775744,4095504384,293449728,11038670848
39.556,4.444,55.111,0,0.889,10048902,10057702,752091136,4095188992,293449728,11038674944
37.288,4.449,57.203,0,1.059,12104531,12056494,751652864,4095627264,293449728,11038482432
39.009,5.388,54.741,0,0.862,11337068,11412028,752144384,4095135744,293449728,11038859264
37.220,4.933,56.726,0,1.121,10149746,10160890,751935488,4095336448,293457920,11038494720
32.045,5.227,61.818,0,0.909,13287510,13306180,751534080,4095737856,293457920,11038277632
40.733,4.095,54.310,0,0.862,10047718,10058362,751673344,4095594496,293457920,11038486528
37.744,4.772,56.399,0,1.085,10657181,10670542,751009792,4096258048,293457920,11038482432
36.543,4.814,57.768,0,0.875,12782230,12798022,751579136,4095688704,293457920,11038089216
39.829,4.497,54.604,0,1.071,10048280,10058098,751579136,4095688704,293457920,11038294016
38.780,4.139,56.209,0,0.871,11557470,11130148,751382528,4095885312,293457920,11038478336
39.659,4.904,54.158,0.213,1.066,11881054,12337954,751476736,4095782912,293466112,11038674944
38.530,4.232,56.347,0,0.891,10179264,10163122,751431680,4095827968,293466112,11038109696
34.498,5.895,58.515,0,1.092,13259310,13305466,751214592,4096045056,293466112,11038093312
38.085,4.900,56.125,0,0.891,10050822,10057942,751927296,4095332352,293466112,11038674944
36.080,5.122,57.906,0,0.891,10213156,10225354,751448064,4095811584,293466112,11038289920
36.087,5.435,57.391,0,1.087,13227394,13244002,751828992,4095430656,293466112,11038486528
39.651,5.011,54.248,0.218,0.871,10049899,10058230,750952448,4096299008,293474304,11038109696
36.923,4.396,57.582,0,1.099,10151999,10163262,751079424,4096139264,293474304,11038486528
32.955,5.227,60.909,0,0.909,12378450,11952518,751001600,4096217088,293474304,11038486528
39.485,4.506,54.936,0,1.073,10956957,11411698,751030272,4096188416,293474304,11038294016
38.307,5.345,55.457,0,0.891,10051898,10058572,751087616,4096131072,293474304,11038478336
35.575,4.989,58.351,0,1.085,13371356,12952492,751157248,4096061440,293474304,11038498816
39.103,5.128,54.701,0.214,0.855,10063518,10516072,751087616,4096122880,293482496,11038486528
39.381,4.204,55.310,0,1.106,10429422,10442914,750936064,4096274432,293482496,11038482432
34.934,5.677,58.515,0,0.873,13010068,13025674,751558656,4095651840,293482496,11038109696
38.926,4.474,55.705,0,0.895,10048712,10057810,751054848,4096155648,293482496,11038482432
38.280,4.301,56.344,0,1.075,10884602,10900582,750977024,4096233472,293482496,11038502912
36.404,4.825,57.895,0,0.877,12553380,12568486,751235072,4095975424,293482496,11038294016
41.630,3.304,53.965,0,1.101,10049548,10057504,752037888,4095164416,293490688,11038478336
35.294,5.229,58.606,0,0.871,12927222,12504598,751550464,4095651840,293490688,11038486528
38.210,4.585,56.114,0,1.092,10511276,10963330,751759360,4095442944,293490688,11038482432
37.220,5.381,56.502,0,0.897,10656514,10669234,752250880,4094951424,293490688,11038679040
35.667,5.689,57.549,0,1.094,12787372,12797860,752635904,4094566400,293490688,11038863360
39.456,4.762,54.875,0,0.907,10120208,10109536,752992256,4094201856,293498880,11038310400
33.624,5.895,59.389,0,1.092,11966906,11557282,753094656,4094099456,293498880,11038666752
36.889,5.111,57.111,0,0.889,11406922,11859538,752472064,4094722048,293498880,11038486528
38.681,3.736,56.703,0,0.879,10052700,10058230,752373760,4094820352,293498880,11038105600
34.152,3.795,60.938,0,1.116,13376780,12952480,752627712,4094566400,293498880,11038683136
36.726,4.425,57.743,0.221,0.885,10061760,10515160,751960064,4095225856,293507072,11038486528
41.026,5.128,52.778,0,1.068,10048488,10058532,751828992,4095356928,293507072,11038482432
36.364,4.978,57.792,0,0.866,12032780,12054106,752410624,4094775296,293507072,11038494720
36.184,5.482,57.237,0,1.096,11402398,11414572,752365568,4094820352,293507072,11038670848
42.128,4.043,52.979,0,0.851,10300832,10313926,752107520,4095078400,293507072,11038089216
34.792,5.252,58.862,0,1.094,13139466,13153582,751460352,4095725568,293507072,11038093312
38.530,4.232,56.125,0.223,0.891,10050636,10057240,751824896,4095352832,293515264,11038486528
39.278,4.883,54.777,0,1.062,10305114,10314466,751501312,4095676416,293515264,11038498816
31.808,5.950,61.327,0,0.915,11788722,11798746,751980544,4095197184,293515264,11038474240
