#"Dstat 0.7.3 CSV output"
#"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
#"Host:","node0.dpsgd-cluster-4.uwmadison744-f20-pg0.wisc.cloudlab.us",,,,"User:","hemantc"
#"Cmdline:","dstat --cpu --net --mem --output a.csv 1",,,,"Date:","08 Dec 2020 12:08:00 CST"
#"total cpu usage",,,,,"net/total",,"memory usage",,,
#"usr","sys","idl","wai","stl","recv","send","used","free","buff","cach"
12.045,3.228,84.479,0.065,0.181,0,0,2338062336,2922614784,286326784,10643259392
77.645,21.956,0.399,0,0,12066699,12044600,2473054208,2787577856,286326784,10644692992
88.600,11.400,0,0,0,15323880,15297370,2472763392,2787852288,286326784,10644697088
87.400,12.600,0,0,0,15324045,15296380,2473050112,2787565568,286326784,10644697088
89,11,0,0,0,15319688,15294904,2473164800,2787450880,286326784,10644623360
88,12,0,0,0,15321827,15293386,2473566208,2787041280,286334976,10644697088
89.178,10.822,0,0,0,14229304,14202046,2474659840,2785947648,286334976,10644697088
88.200,11.800,0,0,0,15325848,15294508,2474721280,2785886208,286334976,10644697088
89.200,10.800,0,0,0,15326524,15295192,2474082304,2786525184,286334976,10644697088
87.800,12.200,0,0,0,15327138,15294508,2474520576,2786086912,286334976,10644774912
87.400,12.600,0,0,0,15330836,15294640,2474311680,2786295808,286334976,10644697088
87.625,12.375,0,0,0,15331239,15294928,2474700800,2785898496,286343168,10644697088
87.776,12.224,0,0,0,15329094,15294994,2474094592,2786504704,286343168,10644692992
88.600,11.400,0,0,0,14239378,13110786,2474467328,2786131968,286343168,10644697088
88,12,0,0,0,15333216,15294796,2474872832,2785726464,286343168,10644697088
88.200,11.800,0,0,0,14240380,15293744,2474676224,2785923072,286343168,10644697088
89,11,0,0,0,15331190,15294532,2474692608,2785898496,286351360,10644774912
88.400,11.600,0,0,0,15326244,15294730,2474643456,2785947648,286351360,10644697088
86,14,0,0,0,14228280,13110942,2474110976,2786480128,286351360,10644697088
84,16,0,0,0,14227472,15293282,2474606592,2785984512,286351360,10644697088
85.600,14.400,0,0,0,14223130,13111536,2475274240,2785316864,286351360,10644697088
