#"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
2.498,0.576,96.903,0.019,0.0,0.004,0.0,0.0,797200384.0,357408768.0,10236530688.0,22144512000.0
0.0,0.0,100.0,0.0,0.0,0.0,12694.0,678.0,797114368.0,357408768.0,10236530688.0,22144598016.0
0.200,0.0,99.800,0.0,0.0,0.0,12664.0,326.0,797114368.0,357408768.0,10236530688.0,22144598016.0
0.0,0.0,100.0,0.0,0.0,0.0,13334.0,326.0,797212672.0,357408768.0,10236530688.0,22144499712.0
0.200,0.0,99.800,0.0,0.0,0.0,14566.0,326.0,797151232.0,357408768.0,10236530688.0,22144561152.0
0.0,0.0,100.0,0.0,0.0,0.0,13488.0,326.0,797249536.0,357408768.0,10236530688.0,22144462848.0
0.0,0.0,99.800,0.200,0.0,0.0,13250.0,326.0,797278208.0,357412864.0,10236530688.0,22144430080.0
0.200,0.0,99.800,0.0,0.0,0.0,13212.0,326.0,797310976.0,357412864.0,10236530688.0,22144397312.0
0.0,0.0,100.0,0.0,0.0,0.0,12078.0,326.0,797343744.0,357412864.0,10236530688.0,22144364544.0
0.200,0.0,99.800,0.0,0.0,0.0,13054.0,326.0,797442048.0,357412864.0,10236530688.0,22144266240.0
0.0,0.0,100.0,0.0,0.0,0.0,13640.0,326.0,797507584.0,357412864.0,10236530688.0,22144200704.0
0.0,0.0,100.0,0.0,0.0,0.0,13582.0,326.0,797573120.0,357412864.0,10236530688.0,22144135168.0
0.200,0.0,99.600,0.200,0.0,0.0,14934.0,326.0,797712384.0,357421056.0,10236522496.0,22143995904.0
0.0,0.0,100.0,0.0,0.0,0.0,14998.0,326.0,797827072.0,357421056.0,10236530688.0,22143873024.0
0.200,0.0,99.800,0.0,0.0,0.0,14578.0,326.0,797859840.0,357421056.0,10236530688.0,22143840256.0
0.0,0.0,100.0,0.0,0.0,0.0,13974.0,326.0,797990912.0,357421056.0,10236530688.0,22143709184.0
0.0,0.0,100.0,0.0,0.0,0.0,13880.0,326.0,798023680.0,357421056.0,10236530688.0,22143676416.0
0.200,0.0,99.800,0.0,0.0,0.0,140912.0,326.0,796450816.0,357421056.0,10236530688.0,22145249280.0
0.0,0.0,99.799,0.201,0.0,0.0,101490.0,326.0,794476544.0,357429248.0,10236530688.0,22147215360.0
0.200,0.0,99.800,0.0,0.0,0.0,12828.0,326.0,794537984.0,357429248.0,10236534784.0,22147149824.0
0.0,0.0,100.0,0.0,0.0,0.0,13252.0,326.0,794636288.0,357429248.0,10236534784.0,22147051520.0
0.0,0.0,100.0,0.0,0.0,0.0,13762.0,326.0,794603520.0,357429248.0,10236534784.0,22147084288.0
0.200,0.0,99.800,0.0,0.0,0.0,14108.0,326.0,794669056.0,357429248.0,10236534784.0,22147018752.0
0.0,0.0,100.0,0.0,0.0,0.0,14096.0,326.0,794734592.0,357429248.0,10236534784.0,22146953216.0
0.200,0.0,99.400,0.400,0.0,0.0,14812.0,326.0,794767360.0,357433344.0,10236530688.0,22146920448.0
0.0,0.0,100.0,0.0,0.0,0.0,14182.0,326.0,794767360.0,357433344.0,10236530688.0,22146920448.0
0.0,0.0,100.0,0.0,0.0,0.0,13152.0,368.0,794828800.0,357433344.0,10236534784.0,22146854912.0
0.200,0.0,99.800,0.0,0.0,0.0,13376.0,326.0,794894336.0,357433344.0,10236534784.0,22146789376.0
